service_id,date,exception_type
050-18-1430122025-HH#B,20251210,2
050-18-1430122025-HH#B,20251212,2
050-18-1430122025-HH#B,20251217,2
050-18-1430122025-HH#B,20251219,2
050-19-1745122025-B#HH,20251209,2
050-19-1745122025-B#HH,20251216,2
050-20-1500122025-HH#B,20251224,2
050-2-0700122025-HH#B,20251206,2
050-2-0700122025-HH#B,20251207,2
050-2-0700122025-HH#B,20251213,2
050-2-0700122025-HH#B,20251214,2
050-2-0700122025-HH#B,20251224,2
050-2-0700122025-HH#B,20251225,2
050-21-1715092025-B#HH,20250908,2
050-21-1715092025-B#HH,20250911,2
050-21-1715092025-B#HH,20250915,2
050-21-1715092025-B#HH,20250918,2
050-21-1715092025-B#HH,20250922,2
050-21-1715092025-B#HH,20250925,2
050-21-1715092025-B#HH,20250929,2
050-21-1715102025-B#HH,20251002,2
050-21-1715102025-B#HH,20251006,2
050-21-1715102025-B#HH,20251009,2
050-21-1715102025-B#HH,20251013,2
050-21-1715102025-B#HH,20251016,2
050-21-1715102025-B#HH,20251020,2
050-21-1715102025-B#HH,20251023,2
050-21-1715102025-B#HH,20251026,2
050-21-1715102025-B#HH,20251028,2
050-21-1715102025-B#HH,20251029,2
050-22-1530122025-HH#B,20251203,2
050-22-1530122025-HH#B,20251210,2
050-22-1530122025-HH#B,20251217,2
050-23-1815012026-B#HH,20260108,2
050-23-1815012026-B#HH,20260109,2
050-23-1815012026-B#HH,20260115,2
050-23-1815012026-B#HH,20260116,2
050-23-1815012026-B#HH,20260122,2
050-23-1815012026-B#HH,20260123,2
050-23-1815012026-B#HH,20260129,2
050-23-1815012026-B#HH,20260130,2
050-23-1815122025-B#HH,20251218,2
050-23-1815122025-B#HH,20251219,2
050-23-1815122025-B#HH,20251223,2
050-23-1815122025-B#HH,20251224,2
050-24-1830012026-HH#B,20260102,2
050-24-1830122025-HH#B,20251209,2
050-24-1830122025-HH#B,20251216,2
050-24-1830122025-HH#B,20251226,2
050-25-1430122025-B#HH,20251225,2
050-26-1900012026-HH#B,20260109,2
050-26-1900012026-HH#B,20260116,2
050-26-1900012026-HH#B,20260123,2
050-26-1900122025-HH#B,20251205,2
050-26-1900122025-HH#B,20251212,2
050-26-1900122025-HH#B,20251219,2
050-3-0745122025-B#HH,20251202,2
050-3-0745122025-B#HH,20251203,2
050-3-0745122025-B#HH,20251209,2
050-3-0745122025-B#HH,20251210,2
050-3-0745122025-B#HH,20251216,2
050-3-0745122025-B#HH,20251217,2
050-33-1300122025-B#FL,20251215,2
050-33-1300122025-B#FL,20251216,2
050-33-1300122025-B#FL,20251217,2
050-33-1300122025-B#FL,20251218,2
050-33-1300122025-B#FL,20251219,2
050-33-1300122025-B#FL,20251220,2
050-33-1300122025-B#FL,20251221,2
050-33-1300122025-B#FL,20251222,2
050-33-1300122025-B#FL,20251223,2
050-33-1300122025-B#FL,20251224,2
050-33-1300122025-B#FL,20251225,2
050-34-0625092025-FL#B,20250906,2
050-34-0625092025-FL#B,20250907,2
050-34-0725122025-FL#B,20251204,2
050-34-0725122025-FL#B,20251205,2
050-34-0725122025-FL#B,20251211,2
050-34-0725122025-FL#B,20251212,2
050-34-0725122025-FL#B,20251224,2
050-4-0730122025-HH#B,20251210,2
050-4-0730122025-HH#B,20251211,2
050-4-0730122025-HH#B,20251217,2
050-4-0730122025-HH#B,20251218,2
050-4-0730122025-HH#B,20251220,2
050-4-0730122025-HH#B,20251221,2
050-44-1545122025-KI#B,20251224,2
050-45-1500122025-B#KI,20251224,2
050-5-0815012026-B#HH,20260102,2
050-5-0815122025-B#HH,20251226,2
050-52-1230012026-HH#B,20260104,2
050-52-1230012026-HH#B,20260109,2
050-52-1230012026-HH#B,20260116,2
050-52-1230012026-HH#B,20260123,2
050-52-1230122025-HH#B,20251219,2
050-52-1230122025-HH#B,20251223,2
050-7-1015122025-B#HH,20251202,2
050-7-1015122025-B#HH,20251209,2
050-7-1015122025-B#HH,20251216,2
050-9-0945092025-B#HH,20250907,2
050-9-0945092025-B#HH,20250908,2
050-9-0945092025-B#HH,20250915,2
050-9-0945092025-B#HH,20250922,2
050-9-0945092025-B#HH,20250929,2
050-9-1045012026-B#HH,20260109,2
050-9-1045012026-B#HH,20260116,2
050-9-1045012026-B#HH,20260123,2
050-9-1045122025-B#HH,20251205,2
050-9-1045122025-B#HH,20251212,2
050-9-1045122025-B#HH,20251219,2
050-9-1045122025-B#HH,20251223,2
050-9-1045122025-B#HH,20251224,2
050-9-1045122025-B#HH,20251225,2
052-52-0710012026-G#HH,20260102,2
052-52-0710012026-G#HH,20260108,2
052-52-0710122025-G#HH,20251209,2
052-52-0710122025-G#HH,20251216,2
052-52-0710122025-G#HH,20251224,2
052-53-1230012026-HH#G,20260103,2
052-53-1230012026-HH#G,20260109,2
052-53-1230122025-HH#G,20251225,2
056-88-1745122025-AMD#DO,20251202,2
056-88-1745122025-AMD#DO,20251203,2
056-88-1745122025-AMD#DO,20251209,2
056-88-1745122025-AMD#DO,20251210,2
056-97-1200122025-DO#AMD,20251202,2
056-97-1200122025-DO#AMD,20251203,2
056-97-1200122025-DO#AMD,20251209,2
056-97-1200122025-DO#AMD,20251210,2
057-10-1050102025-ST2#B,20251010,2
057-10-1050102025-ST2#B,20251016,2
057-10-1050102025-ST2#B,20251017,2
057-10-1050102025-ST2#B,20251021,2
057-11-2040092025-B#ST2,20250902,2
057-11-2040092025-B#ST2,20250908,2
057-11-2040092025-B#ST2,20250909,2
057-11-2040092025-B#ST2,20250915,2
057-11-2040102025-B#ST2,20251006,2
057-11-2040102025-B#ST2,20251009,2
057-122-1345102025-ST2#B,20251008,2
057-122-1345102025-ST2#B,20251010,2
057-122-1345102025-ST2#B,20251011,2
057-122-1345102025-ST2#B,20251014,2
057-122-1345102025-ST2#B,20251017,2
057-122-1345102025-ST2#B,20251018,2
057-122-1345102025-ST2#B,20251021,2
057-122-1345102025-ST2#B,20251022,2
057-7-1400092025-BBA#ST2,20250918,2
057-7-1400092025-BBA#ST2,20250922,2
060-1-0530092025-WIG#B,20250910,2
060-1-0530092025-WIG#B,20250911,2
060-1-0530092025-WIG#B,20250917,2
060-1-0530092025-WIG#B,20250918,2
060-1-0530092025-WIG#B,20250924,2
060-1-0530092025-WIG#B,20250925,2
060-1-0630012026-WIG#B,20260108,2
060-1-0630122025-WIG#B,20251203,2
060-1-0630122025-WIG#B,20251204,2
060-1-0630122025-WIG#B,20251210,2
060-1-0630122025-WIG#B,20251211,2
060-1-0630122025-WIG#B,20251217,2
060-1-0630122025-WIG#B,20251218,2
060-2-0410092025-BAX#WIG,20250909,2
060-2-0410092025-BAX#WIG,20250910,2
060-2-0410092025-BAX#WIG,20250916,2
060-2-0410092025-BAX#WIG,20250917,2
060-2-0410092025-BAX#WIG,20250923,2
060-2-0410092025-BAX#WIG,20250924,2
060-2-0510122025-BAX#WIG,20251202,2
060-2-0510122025-BAX#WIG,20251203,2
060-2-0510122025-BAX#WIG,20251209,2
060-2-0510122025-BAX#WIG,20251210,2
060-2-0510122025-BAX#WIG,20251216,2
060-2-0510122025-BAX#WIG,20251217,2
060-58-0445102025-PRA#WIG,20251007,2
060-58-0445102025-PRA#WIG,20251008,2
060-58-0445102025-PRA#WIG,20251009,2
060-58-0545012026-PRA#WIG,20260108,2
060-58-0545122025-PRA#WIG,20251202,2
060-58-0545122025-PRA#WIG,20251203,2
060-58-0545122025-PRA#WIG,20251204,2
060-58-0545122025-PRA#WIG,20251209,2
060-58-0545122025-PRA#WIG,20251210,2
060-58-0545122025-PRA#WIG,20251211,2
060-58-0545122025-PRA#WIG,20251216,2
060-58-0545122025-PRA#WIG,20251217,2
060-58-0545122025-PRA#WIG,20251218,2
